Date/Time (GMT)	Latitude	Longitude	Flag	Hs (Hm0)(m)	Hmax (m)	Tp (s)	Tz (Tm)(s)	Dirp (degrees)	Spread (deg)	SST (deg C)
  02-Jan-2016 04:30:00	50.73448	-0.49464	0	2.750	5.150	6.7	5.3	153	 23	10.9
  02-Jan-2016 05:00:00	50.73442	-0.49464	0	2.870	4.210	6.7	5.3	158	 28	10.9
  02-Jan-2016 05:30:00	50.73440	-0.49471	0	2.760	4.690	7.1	5.3	160	 21	10.9
  02-Jan-2016 06:00:00	50.73438	-0.49466	0	2.760	4.070	7.1	5.4	170	 24	10.9
  02-Jan-2016 06:30:00	50.73440	-0.49466	0	2.850	5.400	7.1	5.5	173	 21	10.9
  02-Jan-2016 07:00:00	50.73436	-0.49466	0	2.670	4.580	7.1	5.3	172	 28	10.9
  02-Jan-2016 07:30:00	50.73433	-0.49469	0	2.770	3.790	6.7	5.5	165	 22	10.9
  02-Jan-2016 08:00:00	50.73441	-0.49466	0	2.490	4.530	7.1	5.3	169	 24	10.9
  02-Jan-2016 08:30:00	50.73440	-0.49460	0	2.640	3.940	7.1	5.4	176	 20	10.9
  02-Jan-2016 09:00:00	50.73448	-0.49460	0	2.800	4.150	7.1	5.6	174	 17	10.9
  02-Jan-2016 09:30:00	50.73457	-0.49456	0	2.820	4.380	7.1	5.5	174	 14	10.9
  02-Jan-2016 10:00:00	50.73479	-0.49415	0	2.790	4.990	7.1	5.4	179	 16	10.9
  02-Jan-2016 10:30:00	50.73472	-0.49361	0	2.880	4.440	7.1	5.6	183	 20	10.9
  02-Jan-2016 11:00:00	50.73457	-0.49338	0	3.020	4.840	7.1	5.8	187	 18	10.8
  02-Jan-2016 11:30:00	50.73455	-0.49331	0	3.170	5.130	7.7	5.9	190	 21	10.8
  02-Jan-2016 12:00:00	50.73455	-0.49329	0	3.320	5.240	7.7	5.9	190	 19	10.8
  02-Jan-2016 12:30:00	50.73452	-0.49331	0	3.110	4.530	7.7	5.9	191	 18	10.8
  02-Jan-2016 13:00:00	50.73449	-0.49329	0	3.120	5.070	7.7	5.8	196	 20	10.8
  02-Jan-2016 13:30:00	50.73451	-0.49331	0	2.940	4.100	8.3	5.9	193	 27	10.8
  02-Jan-2016 14:00:00	50.73455	-0.49333	0	2.780	5.100	7.7	5.6	191	 26	10.8
  02-Jan-2016 14:30:00	50.73444	-0.49331	0	2.850	3.990	7.7	5.7	194	 22	10.8
  02-Jan-2016 15:00:00	50.73450	-0.49331	0	2.650	3.920	7.7	5.8	200	 19	10.8
  02-Jan-2016 15:30:00	50.73460	-0.49344	0	2.590	3.830	7.1	5.7	194	 22	10.8
  02-Jan-2016 16:00:00	50.73454	-0.49335	0	2.750	4.080	9.1	5.6	218	 14	10.8
  02-Jan-2016 16:30:00	50.73460	-0.49340	0	2.690	4.060	8.3	5.8	215	 19	10.8
  02-Jan-2016 17:00:00	50.73455	-0.49338	0	2.660	3.850	8.3	5.9	217	 17	10.8
  02-Jan-2016 17:30:00	50.73465	-0.49372	0	2.630	4.180	8.3	5.9	211	 12	10.8
  02-Jan-2016 18:00:00	50.73449	-0.49449	0	2.620	3.410	8.3	6.1	214	 10	10.8
  02-Jan-2016 18:30:00	50.73441	-0.49462	0	2.530	3.670	9.1	6.0	217	 13	10.8
  02-Jan-2016 19:00:00	50.73427	-0.49460	0	2.460	3.760	8.3	6.0	218	 11	10.8
  02-Jan-2016 19:30:00	50.73424	-0.49464	0	2.390	3.220	9.1	5.9	221	 13	10.8
  02-Jan-2016 20:00:00	50.73426	-0.49464	0	2.310	3.490	8.3	5.7	217	 11	10.8
  02-Jan-2016 20:30:00	50.73419	-0.49456	0	2.350	3.460	9.1	5.8	217	 10	10.8
  02-Jan-2016 21:00:00	50.73411	-0.49445	0	2.270	3.200	10.0	5.7	214	  9	10.8
  02-Jan-2016 21:30:00	50.73405	-0.49400	0	2.280	3.550	9.1	5.6	218	 12	10.8
  02-Jan-2016 22:00:00	50.73418	-0.49338	0	2.340	3.640	9.1	5.4	217	 12	10.8
  02-Jan-2016 22:30:00	50.73434	-0.49325	0	2.310	3.620	10.0	5.6	215	 13	10.8
  02-Jan-2016 23:00:00	50.73441	-0.49327	0	2.240	3.330	10.0	5.2	215	 14	10.8
  02-Jan-2016 23:30:00	50.73449	-0.49323	0	2.340	3.160	9.1	5.1	218	 13	10.8
  03-Jan-2016 00:00:00	50.73443	-0.49325	5	2.410	3.430	10.0	4.9	212	 18	10.8
  03-Jan-2016 00:30:00	50.73446	-0.49325	0	2.460	3.290	10.0	5.1	212	 12	10.8
  03-Jan-2016 01:00:00	50.73449	-0.49325	0	2.300	3.250	9.1	4.9	217	 17	10.7
  03-Jan-2016 01:30:00	50.73447	-0.49325	0	2.210	3.510	9.1	4.9	217	 20	10.7
  03-Jan-2016 02:00:00	50.73448	-0.49325	5	2.250	2.970	10.0	5.0	217	 16	10.7
  03-Jan-2016 02:30:00	50.73452	-0.49331	5	2.170	3.880	10.5	5.1	215	 16	10.9
  03-Jan-2016 03:00:00	50.73447	-0.49329	0	2.140	2.690	9.1	5.3	219	 14	10.9
  03-Jan-2016 03:30:00	50.73449	-0.49333	5	1.920	2.930	11.8	5.1	218	 14	10.9
  03-Jan-2016 04:00:00	50.73450	-0.49333	0	1.830	2.720	9.1	5.4	222	 14	10.9
  03-Jan-2016 04:30:00	50.73452	-0.49338	0	1.780	2.310	8.3	5.7	219	  9	10.9
  03-Jan-2016 05:00:00	9999.00000	9999.00000	9	9999.000	9999.000	9999.0	9999.0	9999	9999	9999.0
  03-Jan-2016 05:30:00	50.73464	-0.49357	0	1.650	2.240	8.3	5.7	218	 13	10.9
  03-Jan-2016 06:00:00	50.73467	-0.49430	0	1.590	2.430	9.1	5.2	217	 15	10.9
  03-Jan-2016 06:30:00	50.73453	-0.49456	0	1.750	2.990	9.1	5.2	215	 12	10.9
  03-Jan-2016 07:00:00	50.73439	-0.49462	0	1.730	2.980	7.7	5.1	217	 13	10.9
  03-Jan-2016 07:30:00	50.73437	-0.49462	0	1.760	2.770	5.9	4.9	219	 13	10.8
  03-Jan-2016 08:00:00	50.73435	-0.49462	0	1.800	2.930	5.3	4.8	208	 23	10.7
  03-Jan-2016 08:30:00	50.73433	-0.49462	0	1.910	2.970	5.9	4.8	204	 19	10.7
  03-Jan-2016 09:00:00	50.73437	-0.49462	0	1.940	3.330	5.9	4.7	201	 19	10.6
  03-Jan-2016 09:30:00	50.73443	-0.49462	0	2.000	3.140	5.9	4.7	193	 20	10.6
  03-Jan-2016 10:00:00	50.73460	-0.49453	0	2.180	4.420	5.9	4.8	190	 20	10.6
  03-Jan-2016 10:30:00	50.73478	-0.49430	0	2.360	3.970	6.7	5.0	191	 19	10.6
  03-Jan-2016 11:00:00	50.73478	-0.49363	0	2.610	5.170	6.7	5.3	180	 17	10.6
  03-Jan-2016 11:30:00	50.73465	-0.49346	0	2.790	4.030	7.1	5.5	190	 22	10.6
  03-Jan-2016 12:00:00	50.73458	-0.49340	0	2.740	5.210	7.1	5.3	187	 19	10.6
  03-Jan-2016 12:30:00	50.73456	-0.49335	0	3.370	4.970	7.7	6.0	184	 16	10.8
  03-Jan-2016 13:00:00	50.73454	-0.49331	0	3.210	5.710	7.7	5.8	184	 22	10.9
  03-Jan-2016 13:30:00	50.73451	-0.49329	0	3.450	5.550	8.3	6.1	179	 17	10.9
  03-Jan-2016 14:00:00	50.73454	-0.49329	0	3.300	4.640	8.3	6.0	180	 18	10.9
  03-Jan-2016 14:30:00	50.73444	-0.49327	0	3.060	4.160	8.3	5.9	180	 17	10.9
  03-Jan-2016 15:00:00	50.73456	-0.49333	0	2.940	3.710	8.3	5.9	183	 15	10.9
  03-Jan-2016 15:30:00	50.73456	-0.49335	0	2.630	3.760	7.7	5.7	176	 23	10.9
  03-Jan-2016 16:00:00	50.73457	-0.49344	0	2.540	4.640	7.7	5.6	179	 26	10.9
  03-Jan-2016 16:30:00	50.73460	-0.49338	0	2.400	3.420	7.7	5.6	190	 23	10.9
  03-Jan-2016 17:00:00	50.73456	-0.49335	0	2.250	3.920	7.7	5.4	186	 29	10.9
  03-Jan-2016 17:30:00	50.73450	-0.49333	0	2.390	3.090	7.1	5.6	186	 26	10.9
  03-Jan-2016 18:00:00	50.73455	-0.49340	0	2.100	3.000	7.1	5.4	179	 29	10.9
  03-Jan-2016 18:30:00	50.73452	-0.49346	0	2.050	2.820	7.1	5.6	177	 26	10.9
  03-Jan-2016 19:00:00	50.73440	-0.49464	0	1.890	2.830	7.1	5.5	183	 25	10.9
  03-Jan-2016 19:30:00	50.73432	-0.49469	0	1.910	2.750	7.1	5.6	177	 25	10.9
  03-Jan-2016 20:00:00	50.73428	-0.49464	0	1.720	2.810	6.7	5.6	181	 23	10.9
